CCTV4欧洲,${replace}/608807419
CCTV4美洲,${replace}/608807416
CGTN外语纪录,${replace}/609006487
CGTN阿拉伯语,${replace}/609154345
CGTN西班牙语,${replace}/609006450
CGTN法语,${replace}/609006476
CGTN俄语,${replace}/609006446
老故事,${replace}/884121956
发现之旅,${replace}/624878970
中学生,${replace}/708869532
CGTN,${replace}/609017205
赛事最经典,${replace}/646596895
体坛名栏汇,${replace}/629943305
四海钓鱼,${replace}/637444975
陕西体育休闲频道,${replace}/956909356
24小时城市联赛轮播台,${replace}/915512915
武术世界,${replace}/958475359
海峡卫视,${replace}/849119120
中国农林卫视,${replace}/956904896
兵团卫视,${replace}/956923145
上视东方影视,${replace}/617290047
南京新闻综合频道,${replace}/838109047
南京教科频道,${replace}/838153729
南京十八频道,${replace}/838151753
体育休闲频道,${replace}/626064707
江苏城市频道,${replace}/626064714
江苏国际,${replace}/626064674
江苏影视频道,${replace}/626064697
江苏综艺频道,${replace}/626065193
公共新闻频道,${replace}/626064693
盐城新闻综合,${replace}/639731825
泰州新闻综合,${replace}/639731818
宿迁新闻综合,${replace}/639731832
徐州新闻综合,${replace}/639731747
江阴新闻综合,${replace}/955227979
宜兴新闻综合,${replace}/955227996
陕西银龄频道,${replace}/956909362
陕西都市青春频道,${replace}/956909358
陕西秦腔频道,${replace}/956909303
陕西新闻资讯频道,${replace}/956909289
财富天下,${replace}/956923159
经典香港电影,${replace}/625703337
抗战经典影片,${replace}/617432318
新片放映厅,${replace}/619495952
CHC影迷电影,${replace}/952383261
和美乡途轮播台,${replace}/713591450
南方影视,${replace}/614961829
中国天气,${replace}/959986621
熊猫频道01高清,${replace}/609158151
熊猫频道1,${replace}/608933610
熊猫频道2,${replace}/608933640
熊猫频道3,${replace}/608934619
熊猫频道4,${replace}/608934721
熊猫频道5,${replace}/608935104
熊猫频道6,${replace}/608935797
熊猫频道7,${replace}/609169286
熊猫频道8,${replace}/609169287
熊猫频道9,${replace}/609169226
熊猫频道10,${replace}/609169285
最强综艺趴,${replace}/629942228
嘉佳卡通,${replace}/614952364
经典动画大集合,${replace}/629942219
新动力量创一流,${replace}/713589837
中华特产,${replace}/959986618
环球旅游,${replace}/958475356
茶,${replace}/961930369
意甲 罗马VS热那亚 全场回放（吴桐） 03:30,${replace}/962023556
NBA 奇才VS太阳 全场回放（殷文玉） 07:55,${replace}/962026136
NBA 奇才VS太阳 全场回放（英文原声） 07:55,${replace}/962028459
NBA 黄蜂VS雄鹿 全场回放（贾磊） 07:55,${replace}/962026199
NBA 黄蜂VS雄鹿 全场回放（英文原声） 07:55,${replace}/962027657
NBA 热火VS掘金 全场回放（王冠证） 08:25,${replace}/962026694
NBA 热火VS掘金 全场回放（英文原声） 08:25,${replace}/962028092
NBA 篮网VS勇士 全场回放 (李天宇、李根、陈正昊、王羽希) 08:15,${replace}/962027370
NBA 篮网VS勇士 全场回放 (董倡硕) 08:15,${replace}/962027399
NBA 篮网VS勇士 全场回放（英文原声） 08:15,${replace}/962028688
NBA 猛龙VS魔术 全场回放（张泽欣） 08:25,${replace}/962027015
NBA 猛龙VS魔术 全场回放（英文原声） 08:25,${replace}/962028048
NBA 火箭VS步行者 全场回放（连睿、王润陶、周鹏、拜月宁） 08:55,${replace}/962027516
NBA 火箭VS步行者 全场回放（英文原声） 08:55,${replace}/962028397
NBA 雷霆VS老鹰 全场回放（英文原声） 08:55,${replace}/962029095
NBA 雷霆VS老鹰 全场回放 (罗森) 08:55,${replace}/962027710
NBA 马刺VS骑士 全场回放（邵化谦） 08:55,${replace}/962027568
NBA 马刺VS骑士 全场回放（英文原声） 08:55,${replace}/962028899
NBA 公牛VS森林狼 全场回放 (盛哲) 08:55,${replace}/962027359
NBA 公牛VS森林狼 全场回放（英文原声） 08:55,${replace}/962028181
NBA 鹈鹕VS尼克斯 全场回放 (王凯) 08:55,${replace}/962027818
NBA 鹈鹕VS尼克斯 全场回放（英文原声） 08:55,${replace}/962031043
全国U19青年篮球联赛 深圳新世纪76-58新疆广汇 全场回放（原声） 10:55,${replace}/962029970
全国U19青年篮球联赛 广东宏远109-57天津荣钢 全场回放（原声） 10:55,${replace}/962030177
NBA 开拓者VS独行侠 全场回放（孙博、季孟年、闫宇峰、裴优） 11:25,${replace}/962032902
NBA 开拓者VS独行侠 全场回放（邢晨） 11:25,${replace}/962032800
NBA 开拓者VS独行侠 全场回放（英文原声） 11:25,${replace}/962038388
全国U19青年篮球联赛 龙狮青年74-68辽宁沈阳三生 全场回放（原声） 12:55,${replace}/962035555
全国U19青年篮球联赛 四川锦城72-91北京首钢 全场回放（原声） 12:55,${replace}/962035677
WCBA 合肥文旅VS江西赣星 全场回放（原声） 19:25,${replace}/962041364
WCBA 厦门环东文旅VS河南豫光金铅 全场回放（原声） 19:25,${replace}/962041845
NBL 合肥狂风VS香港金牛 全场回放（官方解说） 19:20,${replace}/962041513
NBL 合肥狂风VS香港金牛 全场回放（原声） 19:20,${replace}/962041445
浙江省城市篮球联赛 温州85-83金华 25/26赛季浙江省城市篮球联赛: 温州VS金华 19:30,${replace}/961339071
CBA 北京北汽VS浙江方兴渡 7连胜遭终结！广厦送北京赛季首败 布朗23分6助4断 孙铭徽22分 19:35,${replace}/962041033
NBL 江西鲸裕清酒VS安徽皖江龙 全场回放(官方解说) 19:50,${replace}/962041957
NBL 江西鲸裕清酒VS安徽皖江龙 全场回放(原声) 19:50,${replace}/962041844
NBL 上海玄鸟VS焦作文旅 全场回放（官方解说） 19:50,${replace}/962041590
NBL 上海玄鸟VS焦作文旅 全场回放(原声) 19:50,${replace}/962041652
国际马联场地障碍世界杯 马术场地障碍世界杯西欧联赛 2025马术场地障碍世界杯西欧联赛全场回放 21:45,${replace}/962043422
英超 西汉姆联VS布莱顿 全场回放 (刘焕) 03:15,${replace}/962044222
英超 诺丁汉森林VS埃弗顿 全场回放（郭灿亮） 03:15,${replace}/962043962
英超 切尔西VS伯恩茅斯 全场回放（刘畅、颜强) 03:00,${replace}/962044055
英超 伯恩利VS纽卡斯尔联 全场回放（涂远） 03:15,${replace}/962043967
英超 曼联VS狼队 全场回放 (娄一晨、刘越、姚安妮) 04:00,${replace}/962044250
英超 曼联VS狼队 25/26赛季英超第19轮全场回放：曼联1:1狼队（娄一晨、刘越、姚安妮）（4K） 04:00,${replace}/962045140
英超 阿森纳VS阿斯顿维拉 全场回放 (詹俊、张路、林梦鸽) 04:00,${replace}/962044362
NBA 灰熊VS76人 全场回放（刘芳宇） 08:55,${replace}/962055039
NBA 灰熊VS76人 全场回放（英文原声） 08:55,${replace}/962055951
NBA 爵士VS凯尔特人 【全场回放】 爵士vs凯尔特人 09:55,${replace}/962057116
NBA 爵士VS凯尔特人 全场回放(蔡凯臣) 09:55,${replace}/962055178
NBA 湖人VS活塞 全场回放 (李天宇、陈正昊、徐咏、廖昕阳) 11:25,${replace}/962057172
NBA 湖人VS活塞 全场回放 (郑泽鹏) 11:25,${replace}/962057338
NBA 湖人VS活塞 全场回放（英文原声） 11:25,${replace}/962065528
NBA 快船VS国王 全场回放（杨健、闫宇峰、裴优） 11:55,${replace}/962057212
全国U19青年篮球联赛 山西汾酒92-84浙江稠州银行 全场回放(原声) 12:55,${replace}/962065338
全国U19青年篮球联赛 山东山高101-121广东宏远 全场回放（原声） 12:55,${replace}/962065768
全国U19青年篮球联赛 北控青年78-94福建浔兴 全场回放（原声） 14:55,${replace}/962066538
全国U19青年篮球联赛 青岛国信海天77-61北京首钢 全场回放（原声） 14:55,${replace}/962066574
WCBA 陕西榆林天泽VS东莞新彤盛 解说 19:25,${replace}/962052204
WCBA 武汉盛帆黄鹤VS浙江稠州银行 清流播出 19:25,${replace}/962052623
WCBA 上海浦发银行VS新疆天山 解说 19:25,${replace}/962053391
WCBA 江苏南钢VS北京首钢园 清流播出 19:25,${replace}/962052099
WCBA 石家庄英励VS山西竹叶青酒 清流播出 19:25,${replace}/962052862
浙江省城市篮球联赛 衢州VS丽水 2025浙江省城市篮球联赛: 衢州VS丽水 19:30,${replace}/961194371
NBL 长沙勇胜VS石家庄翔蓝 解说 19:20,${replace}/961271012
NBL 长沙勇胜VS石家庄翔蓝 现场原声 19:20,${replace}/961271031
NBL 湖北文旅VS盐南苏科雄狮 解说 19:20,${replace}/961270991
NBL 湖北文旅VS盐南苏科雄狮 现场原声 19:20,${replace}/961271001
浙江省城市篮球联赛 舟山VS庆元 25/26赛季浙江省城市篮球联赛: 舟山VS庆元 19:30,${replace}/961339111
CBA 辽宁本钢VS上海久事 图文直播 19:35,${replace}/961995002
CBA 深圳马可波罗VS北京控股 图文直播 19:35,${replace}/961995015
全国U19青年篮球联赛 辽宁沈阳三生vs新疆广汇 赛场原声 19:55,${replace}/961450495
全国U19青年篮球联赛 上海久事vs龙狮青年 赛场原声 19:55,${replace}/961450502
西双版纳越野跑 西双版纳越野跑第一日 清流播出 22:30,${replace}/961468296
NBA 黄蜂VS勇士 盛哲 01:55,${replace}/961470689
