綜合其他,#genre#
民視第一台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live403/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
民視第一台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv003/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
民視台灣台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live401/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
民視台灣台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv001/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
民視,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live215/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
民視,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv002/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
大愛電視,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live007/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
中視,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv040/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
華視,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv041/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
三立綜合台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live207/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
客家電視,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv043/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
靖天綜合,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv046/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
靖天日本,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv047/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
新唐人亞太台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live050/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
ARIRANG阿里郎頻道,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv079/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
原住民族電視台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv080/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
東森購物四台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live049/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
東森購物一台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live047/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
東森購物一台,http://iptv-4gtv.ufozsq.ccwu.cc/of-4gtv-4gtv102/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
東森購物二台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live046/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
東森購物二台,http://iptv-4gtv.ufozsq.ccwu.cc/of-4gtv-4gtv103/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
靖天育樂,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv062/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
KLT-靖天國際台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv063/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
NICE TV 靖天歡樂台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv054/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
靖天資訊,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv065/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
韓國娛樂台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv016/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
東森購物三台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live048/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
好消息,http://iptv-4gtv.ufozsq.ccwu.cc/litv-ftv16/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
好消息2台,http://iptv-4gtv.ufozsq.ccwu.cc/litv-ftv17/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
大愛二台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live106/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
人間衛視,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live008/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
國會頻道1台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv084/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
國會頻道2台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv085/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
中視,http://iptv-4gtv.ufozsq.ccwu.cc/of-4gtv-4gtv040/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
華視,http://iptv-4gtv.ufozsq.ccwu.cc/of-4gtv-4gtv041/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
好消息,http://iptv-4gtv.ufozsq.ccwu.cc/of-litv-ftv16/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
好消息2台,http://iptv-4gtv.ufozsq.ccwu.cc/of-litv-ftv17/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
國會頻道1台,http://iptv-4gtv.ufozsq.ccwu.cc/of-4gtv-4gtv084/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
國會頻道2台,http://iptv-4gtv.ufozsq.ccwu.cc/of-4gtv-4gtv085/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
DayStar,http://iptv-4gtv.ufozsq.ccwu.cc/daystar/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
愛爾達寵物運動台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv070/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
ROCK Entertainment,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live080/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
ABC Australia 澳洲公廣頻道,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live167/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY

電影戲劇,#genre#
公視戲劇,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv042/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
民視影劇,http://iptv-4gtv.ufozsq.ccwu.cc/litv-ftv09/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
HITS頻道,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live620/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
靖天戲劇,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv058/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
靖洋戲劇,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv045/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
金光布袋戲,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live144/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
ROCK Action,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live138/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
采昌影劇,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv049/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
靖天映畫,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv055/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
靖天電影,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv061/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
影迷數位電影台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv011/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
amc電影台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv017/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
Cinema World,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live069/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
MCE我的歐洲電影,http://iptv-4gtv.ufozsq.ccwu.cc/litv-ftv10/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
經典電影台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live021/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
中視經典台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv080/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
台灣戲劇台,http://iptv-4gtv.ufozsq.ccwu.cc/litv-xinchuang22/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
龍華洋片台,http://iptv-4gtv.ufozsq.ccwu.cc/litv-xinchuang02/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
龍華電影台,http://iptv-4gtv.ufozsq.ccwu.cc/litv-xinchuang03/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
龍華日韓台,http://iptv-4gtv.ufozsq.ccwu.cc/litv-xinchuang11/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
龍華偶像台,http://iptv-4gtv.ufozsq.ccwu.cc/litv-xinchuang12/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
龍華戲劇台,http://iptv-4gtv.ufozsq.ccwu.cc/litv-xinchuang18/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
龍華經典台,http://iptv-4gtv.ufozsq.ccwu.cc/litv-xinchuang21/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
ROCK Xstream搖滾極限頻道,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live124/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY

音樂綜藝,#genre#
八大綜藝,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv039/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
TVBS精采台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv067/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
民視綜藝,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv004/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
豬哥亮歌廳秀,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv006/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
TVBS歡樂台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv068/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
電影原聲台 CMusic,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live031/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
TRACE Urban,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv082/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
Mezzo Live HD,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv083/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
CLASSICA古典樂,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv059/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
八大精彩,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv034/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY

生活旅遊,#genre#
Global Trekker,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live112/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
Lifetime,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live029/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
INULTRA,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live096/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
民視旅遊,http://iptv-4gtv.ufozsq.ccwu.cc/litv-ftv07/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
滾動力 Rollor,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live012/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
亞洲旅遊,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv076/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
FUN 4K探索娛樂,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live011/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
幸福空間居家台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv064/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
LOVE NATURE,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live208/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
愛爾達生活旅遊台,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live120/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
LUXE TV,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live121/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
TV5MONDE Style,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live122/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
MagellanTV頻道 (麥哲倫頻道) ,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live123/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
亞洲旅遊,http://iptv-4gtv.ufozsq.ccwu.cc/of-4gtv-4gtv076/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
Smart知識台,http://iptv-4gtv.ufozsq.ccwu.cc/litv-xinchuang19/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY

兒童卡通,#genre#
LiveABC互動英語頻道,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live030/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
達文西頻道,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv018/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
ELTV生活英語台,http://iptv-4gtv.ufozsq.ccwu.cc/litv-xinchuang20/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
Nick Jr. 兒童頻道,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live032/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
尼克兒童頻道,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live105/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
DreamWorks 夢工廠動畫,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live017/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
靖天卡通,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv044/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
靖洋卡通Nice Bingo,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-4gtv057/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
MOMO親子,http://iptv-4gtv.ufozsq.ccwu.cc/4gtv-live107/index.m3u8?token=aTi9DGRdEB828qjTWxYp37yUlGoLCKFRLXPr0dWMQvGP3gmeo1FodYIJzuLS8tmY
